Sample_accession,Study,Sample_ID,Social_group,Sex,Age,Age_interval,Fecal sample collection Date,Season
SRR1747035,Tung_2015,F09,Mica,F,4.82,1-5yrs,2-Aug-12,wet
SRR1747060,Tung_2015,F28,Mica,F,4.86,1-5yrs,26-Jul-12,wet
SRR1747034,Tung_2015,F08,Mica,F,5.19,5-10yrs,6-Aug-12,wet
SRR1747038,Tung_2015,F12,Mica,F,6.57,5-10yrs,2-Aug-12,wet
SRR1747059,Tung_2015,F27,Mica,F,6.78,5-10yrs,10-Jul-12,wet
SRR1747036,Tung_2015,F10,Mica,F,7.99,5-10yrs,18-Jul-12,wet
SRR1747021,Tung_2015,M04,Mica,M,8.69,5-10yrs,6-Aug-12,wet
SRR1747041,Tung_2015,F13,Mica,F,9.55,5-10yrs,27-Jul-12,wet
SRR1747018,Tung_2015,M01,Mica,M,10.1,10-15yrs,6-Aug-12,wet
SRR1747062,Tung_2015,F29,Mica,F,10.38,10-15yrs,30-Jul-12,wet
SRR1747033,Tung_2015,F07,Mica,F,10.74,10-15yrs,27-Jul-12,wet
SRR1747019,Tung_2015,M02,Mica,M,11.66,10-15yrs,6-Aug-12,wet
SRR1747022,Tung_2015,M05,Mica,M,12.85,10-15yrs,6-Aug-12,wet
SRR1747020,Tung_2015,M03,Mica,M,13.27,10-15yrs,27-Jul-12,wet
SRR1747037,Tung_2015,F11,Mica,F,13.94,10-15yrs,27-Jul-12,wet
SRR1747031,Tung_2015,M08,Mica,M,14.78,10-15yrs,10-Jul-12,wet
SRR1747048,Tung_2015,M14,Mica,M,15.56,over 15yrs,12-Jul-12,wet
SRR1747042,Tung_2015,M12,Mica,M,19,over 15yrs,27-Jul-12,wet
SRR1747057,Tung_2015,F26,Mica,F,20.5,over 15yrs,12-Jul-12,wet
SRR1747023,Tung_2015,F01,Viola,F,4.82,1-5yrs,7-Jul-12,wet
SRR1747045,Tung_2015,F15,Viola,F,5.88,5-10yrs,3-Aug-12,wet
SRR1747056,Tung_2015,F25,Viola,F,6.01,5-10yrs,17-Jul-12,wet
SRR1747025,Tung_2015,F03,Viola,F,6.4,5-10yrs,24-Jul-12,wet
SRR1747027,Tung_2015,F05,Viola,F,6.4,5-10yrs,7-Jul-12,wet
SRR1747065,Tung_2015,F31,Viola,F,6.97,5-10yrs,24-Jul-12,wet
SRR1747058,Tung_2015,M15,Viola,M,7.51,5-10yrs,8-Aug-12,wet
SRR1747061,Tung_2015,M16,Viola,M,7.95,5-10yrs,8-Aug-12,wet
SRR1747024,Tung_2015,F02,Viola,F,8.26,5-10yrs,7-Jul-12,wet
SRR1747040,Tung_2015,M11,Viola,M,9.14,5-10yrs,4-Aug-12,wet
SRR1747026,Tung_2015,F04,Viola,F,9.3,5-10yrs,4-Aug-12,wet
SRR1747046,Tung_2015,F16,Viola,F,9.79,5-10yrs,17-Jul-12,wet
SRR1747032,Tung_2015,M09,Viola,M,10.61,10-15yrs,19-Jul-12,wet
SRR1747049,Tung_2015,F18,Viola,F,10.77,10-15yrs,7-Jul-12,wet
SRR1747044,Tung_2015,F14,Viola,F,11.09,10-15yrs,28-Jul-12,wet
SRR1747064,Tung_2015,F30,Viola,F,11.81,10-15yrs,19-Jul-12,wet
SRR1747028,Tung_2015,F06,Viola,F,12.16,10-15yrs,7-Aug-12,wet
SRR1747063,Tung_2015,M17,Viola,M,12.57,10-15yrs,19-Jul-12,wet
SRR1747039,Tung_2015,M10,Viola,M,13.33,10-15yrs,19-Jul-12,wet
SRR1747029,Tung_2015,M06,Viola,M,13.79,10-15yrs,12-Jul-12,wet
SRR1747051,Tung_2015,F20,Viola,F,13.93,10-15yrs,24-Jul-12,wet
SRR1747052,Tung_2015,F21,Viola,F,14.11,10-15yrs,8-Aug-12,wet
SRR1747047,Tung_2015,F17,Viola,F,14.24,10-15yrs,17-Jul-12,wet
SRR1747043,Tung_2015,M13,Viola,M,14.96,10-15yrs,12-Jul-12,wet
SRR1747055,Tung_2015,F24,Viola,F,15.33,over 15yrs,28-Jul-12,wet
SRR1747054,Tung_2015,F23,Viola,F,15.48,over 15yrs,1-Aug-12,wet
SRR1747030,Tung_2015,M07,Viola,M,17.61,over 15yrs,17-Jul-12,wet
SRR1747050,Tung_2015,F19,Viola,F,19.56,over 15yrs,4-Aug-12,wet
SRR1747053,Tung_2015,F22,Viola,F,22.44,over 15yrs,19-Jul-12,wet
EA-BATCH003-HOT-51372-06-Sep-2014,This study,EA-BATCH003-HOT-51372,NA,M,1.67,1-5yrs,6-Sep-14,dry
EA-BATCH003-NIY-51364-06-Sep-2014,This study,EA-BATCH003-NIY-51364,NA,F,1.94,1-5yrs,6-Sep-14,dry
EA-BATCH003-GAP-51370-06-Sep-2014,This study,EA-BATCH003-GAP-51370,NA,M,1.94,1-5yrs,6-Sep-14,dry
EA-b002-VIY-55519-23-May-2014,This study,EA-b002-VIY-55519,NA,F,2.21,1-5yrs,23-May-14,wet
EA-b002-TAY-55513-22-May-2014,This study,EA-b002-TAY-55513,NA,F,2.9,1-5yrs,22-May-14,wet
EA-b002-GUR-55508-20-May-2014,This study,EA-b002-GUR-55508,NA,M,3.44,1-5yrs,20-May-14,wet
EA-BATCH003-NGI-51346-04-Sep-2014,This study,EA-BATCH003-NGI-51346,NA,F,3.74,1-5yrs,4-Sep-14,dry
EA-b002-ILA-55522-24-May-2014,This study,EA-b002-ILA-55522,NA,M,3.83,1-5yrs,24-May-14,wet
EA-BATCH003-CHL-51382-06-Sep-2014,This study,EA-BATCH003-CHL-51382,NA,F,3.93,1-5yrs,6-Sep-14,dry
EA-b002-NAK-55516-22-May-2014,This study,EA-b002-NAK-55516,NA,F,4.07,1-5yrs,22-May-14,wet
EA-BATCH003-GWA-51379-06-Sep-2014,This study,EA-BATCH003-GWA-51379,NA,M,4.11,1-5yrs,6-Sep-14,dry
EA-b002-WYO-55512-21-May-2014,This study,EA-b002-WYO-55512,NA,M,4.16,1-5yrs,21-May-14,wet
EA-BATCH003-ENV-51356-05-Sep-2014,This study,EA-BATCH003-ENV-51356,NA,F,4.62,1-5yrs,5-Sep-14,dry
EA-BATCH003-TRU-51384-08-Sep-2014,This study,EA-BATCH003-TRU-51384,NA,M,4.93,1-5yrs,8-Sep-14,dry
EA-BATCH003-MIA-51368-06-Sep-2014,This study,EA-BATCH003-MIA-51368,NA,F,6.08,5-10yrs,6-Sep-14,dry
EA-b002-MAH-55511-21-May-2014,This study,EA-b002-MAH-55511,NA,M,7.63,5-10yrs,21-May-14,wet
EA-BATCH003-OPA-51351-05-Sep-2014,This study,EA-BATCH003-OPA-51351,NA,F,8.06,5-10yrs,5-Sep-14,dry
EA-BATCH003-OBL-51404-10-Sep-2014,This study,EA-BATCH003-OBL-51404,NA,M,8.39,5-10yrs,10-Sep-14,dry
EA-b002-WAP-55507-20-May-2014,This study,EA-b002-WAP-55507,NA,M,8.39,5-10yrs,20-May-14,wet
EA-BATCH003-FRU-51381-06-Sep-2014,This study,EA-BATCH003-FRU-51381,NA,M,8.44,5-10yrs,6-Sep-14,dry
EA-BATCH003-LUZ-51390-08-Sep-2014,This study,EA-BATCH003-LUZ-51390,NA,M,8.63,5-10yrs,8-Sep-14,dry
EA-b002-VEB-55373-21-Apr-2014,This study,EA-b002-VEB-55373,NA,M,9.59,5-10yrs,21-Apr-14,wet
EA-BATCH003-VEB-51352-05-Sep-2014,This study,EA-BATCH003-VEB-51352,NA,M,9.96,5-10yrs,5-Sep-14,dry
EA-b002-FAM-55515-22-May-2014,This study,EA-b002-FAM-55515,NA,M,10.52,10-15yrs,22-May-14,wet
EA-b002-RWA-55506-20-May-2014,This study,EA-b002-RWA-55506,NA,F,11.63,10-15yrs,20-May-14,wet
EA-b002-DUR-55376-25-Apr-2014,This study,EA-b002-DUR-55376,NA,F,11.64,10-15yrs,25-Apr-14,wet
EA-BATCH003-YAR-51406-10-Sep-2014,This study,EA-BATCH003-YAR-51406,NA,M,12.15,10-15yrs,10-Sep-14,dry
