Sample_accession,Sample_ID,Social_group,Sex,Age,Age_interval,Fecal sample collection Date,Season,Number of paired-end sequences
SRR1747035,F09,Mica,F,4.82,1-5yrs,2-Aug-12,wet,8057906
SRR1747060,F28,Mica,F,4.86,1-5yrs,26-Jul-12,wet,4565362
SRR1747034,F08,Mica,F,5.19,5-10yrs,6-Aug-12,wet,9053772
SRR1747038,F12,Mica,F,6.57,5-10yrs,2-Aug-12,wet,7016400
SRR1747059,F27,Mica,F,6.78,5-10yrs,10-Jul-12,wet,15211114
SRR1747036,F10,Mica,F,7.99,5-10yrs,18-Jul-12,wet,7036522
SRR1747021,M04,Mica,M,8.69,5-10yrs,6-Aug-12,wet,15836164
SRR1747041,F13,Mica,F,9.55,5-10yrs,27-Jul-12,wet,8461607
SRR1747018,M01,Mica,M,10.1,10-15yrs,6-Aug-12,wet,22060923
SRR1747062,F29,Mica,F,10.38,10-15yrs,30-Jul-12,wet,30610918
SRR1747033,F07,Mica,F,10.74,10-15yrs,27-Jul-12,wet,9577298
SRR1747019,M02,Mica,M,11.66,10-15yrs,6-Aug-12,wet,51296086
SRR1747022,M05,Mica,M,12.85,10-15yrs,6-Aug-12,wet,46801714
SRR1747020,M03,Mica,M,13.27,10-15yrs,27-Jul-12,wet,14057471
SRR1747037,F11,Mica,F,13.94,10-15yrs,27-Jul-12,wet,5886174
SRR1747031,M08,Mica,M,14.78,10-15yrs,10-Jul-12,wet,5531414
SRR1747048,M14,Mica,M,15.56,over 15yrs,12-Jul-12,wet,11608000
SRR1747042,M12,Mica,M,19,over 15yrs,27-Jul-12,wet,4923087
SRR1747057,F26,Mica,F,20.5,over 15yrs,12-Jul-12,wet,9710157
SRR1747023,F01,Viola,F,4.82,1-5yrs,7-Jul-12,wet,9656069
SRR1747045,F15,Viola,F,5.88,5-10yrs,3-Aug-12,wet,7561558
SRR1747056,F25,Viola,F,6.01,5-10yrs,17-Jul-12,wet,11737044
SRR1747025,F03,Viola,F,6.4,5-10yrs,24-Jul-12,wet,9287963
SRR1747027,F05,Viola,F,6.4,5-10yrs,7-Jul-12,wet,13170954
SRR1747065,F31,Viola,F,6.97,5-10yrs,24-Jul-12,wet,78112768
SRR1747058,M15,Viola,M,7.51,5-10yrs,8-Aug-12,wet,9549617
SRR1747061,M16,Viola,M,7.95,5-10yrs,8-Aug-12,wet,40099413
SRR1747024,F02,Viola,F,8.26,5-10yrs,7-Jul-12,wet,21109752
SRR1747040,M11,Viola,M,9.14,5-10yrs,4-Aug-12,wet,9173371
SRR1747026,F04,Viola,F,9.3,5-10yrs,4-Aug-12,wet,9350256
SRR1747046,F16,Viola,F,9.79,5-10yrs,17-Jul-12,wet,6385191
SRR1747032,M09,Viola,M,10.61,10-15yrs,19-Jul-12,wet,7741234
SRR1747049,F18,Viola,F,10.77,10-15yrs,7-Jul-12,wet,10197627
SRR1747044,F14,Viola,F,11.09,10-15yrs,28-Jul-12,wet,7079126
SRR1747064,F30,Viola,F,11.81,10-15yrs,19-Jul-12,wet,7024311
SRR1747028,F06,Viola,F,12.16,10-15yrs,7-Aug-12,wet,22221645
SRR1747063,M17,Viola,M,12.57,10-15yrs,19-Jul-12,wet,8412741
SRR1747039,M10,Viola,M,13.33,10-15yrs,19-Jul-12,wet,5401225
SRR1747029,M06,Viola,M,13.79,10-15yrs,12-Jul-12,wet,11722332
SRR1747051,F20,Viola,F,13.93,10-15yrs,24-Jul-12,wet,8690335
SRR1747052,F21,Viola,F,14.11,10-15yrs,8-Aug-12,wet,12193900
SRR1747047,F17,Viola,F,14.24,10-15yrs,17-Jul-12,wet,16692755
SRR1747043,M13,Viola,M,14.96,10-15yrs,12-Jul-12,wet,7798067
SRR1747055,F24,Viola,F,15.33,over 15yrs,28-Jul-12,wet,9900654
SRR1747054,F23,Viola,F,15.48,over 15yrs,1-Aug-12,wet,10639484
SRR1747030,M07,Viola,M,17.61,over 15yrs,17-Jul-12,wet,10395900
SRR1747050,F19,Viola,F,19.56,over 15yrs,4-Aug-12,wet,11473908
SRR1747053,F22,Viola,F,22.44,over 15yrs,19-Jul-12,wet,8757699
